[DEBUG] 2019-10-16 03:30:26.047 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-16 03:30:26.068 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-16 03:30:26.082 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-16 03:30:26.286 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-16 03:30:26.292 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-16 03:30:26.842 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-16 03:30:26.846 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-16 03:30:26.860 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-16 03:30:27.578 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-16 03:30:27.617 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-16 03:30:27.621 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-16 03:30:27.646 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-16 03:30:27.705 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3d7fa3ae
[DEBUG] 2019-10-16 03:30:27.705 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3d7fa3ae
[DEBUG] 2019-10-16 03:30:27.706 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3d7fa3ae
[DEBUG] 2019-10-16 03:30:27.706 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@187eb9a8
[DEBUG] 2019-10-16 03:30:27.706 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3ff57625
[DEBUG] 2019-10-16 03:30:27.707 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@63429932
[DEBUG] 2019-10-16 03:30:27.707 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@732bb66d
[DEBUG] 2019-10-16 03:30:27.707 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@732bb66d
[DEBUG] 2019-10-16 03:30:27.714 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@732bb66d
[DEBUG] 2019-10-16 03:30:27.715 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1517f633
